date,total num arrivals,total num departures,total num of people making complaints,"total number of all complaints (phone, email, web, letters)"
28th January 2016,624,626,39,223
27th January 2016,605,611,45,168
26th January 2016,593,594,37,129
25th January 2016,608,618,49,193
24th January 2016,586,590,37,246
23rd January 2015,551,535,42,138
22nd January 2016,641,637,53,252
21st January 2016,609,616,82,302
20th January 2016,601,597,73,187
19th January 2016,604,599,51,212
18th January 2016,615,616,95,462
17th January 2016,614,606,90,319
16th January 2016,548,557,49,171
15th January 2016,614,610,59,290
14th January 2016,596,595,50,222
13th January 2016,587,590,61,285
12th January 2016,592,591,58,275
11th January 2016,615,609,58,391
10th January 2016,615,613,72,338
9th January 2016,555,564,49,258
8th January 2016,624,618,59,306
7th January 2016,611,611,61,235
6th January 2016,605,610,103,321
5th January 2016,609,609,64,291
4th January 2016,618,621,57,329
3rd January 2016,625,614,81,345
2nd January 2016,563,570,74,323
1st January 2016,528,558,69,206
31st December 2015,534,518,34,206
30th December 2015,587,582,49,266
29th December 2015,581,585,41,247
28th December 2015,591,588,67,362
27th December 2015,594,590,32,153
26th December 2015,454,521,27,117
25th December 2015,309,301,29,93
24th December 2015,555,491,24,132
23rd December 2015,609,611,44,197
22nd December 2015,613,611,58,195
21st December 2015,613,614,58,245
20th December 2015,622,617,55,233
19th December 2015,598,609,49,265
18th December 2015,655,652,52,325
17th December 2015,649,650,42,197
16th December 2015,642,643,57,256
15th December 2015,639,642,116,404
14th December 2015,645,639,94,251
13th December 2015,641,631,110,244
12th December 2015,590,596,51,331
11th December 2015,645,649,55,229
10th December 2015,641,642,46,206
9th December 2015,637,642,53,199
8th December 2015,636,634,61,216
7th December 2015,637,638,94,330
6th December 2015,635,627,41,134
5th December 2015,589,594,30,240
4th December 2015,652,652,43,201
3rd December 2015,639,644,53,178
2nd December 2015,641,636,55,272
1st December 2015,631,631,53,212
30th November 2015,643,639,65,293
29th November 2015,628,627,52,233
28th November 2015,576,593,53,249
27th November 2015,612,620,53,221
26th November 2015,622,611,47,213
25th November 2015,641,637,66,398
24th November 2015,621,621,71,447
23rd November 2015,634,631,49,218
22nd November 2015,646,633,47,298
21st November 2015,588,594,45,178
20th November 2015,660,662,48,376
19th November 2015,644,651,72,527
18th November 2015,640,640,57,177
17th November 2015,624,619,53,198
16th November 2015,643,645,67,368
15th November 2015,645,634,46,253
14th November 2015,571,575,46,249
13th November 2015,624,632,48,283
12th November 2015,616,615,50,229
11th November 2015,605,609,57,344
10th November 2015,638,632,54,221
9th November 2015,620,619,58,167
8th November 2015,628,622,53,185
7th November 2015,562,569,40,196
6th November 2015,641,644,47,182
5th November 2015,640,639,55,200
4th November 2015,631,633,87,298
3rd November 2015,623,628,176,547
2nd November 2015,584,583,105,307
1st November 2015,531,515,69,255
31st October 2015,581,592,120,353
30th October 2015,655,651,142,340
29th October 2015,643,643,139,412
28th October 2015,636,639,192,529
27th October 2015,639,639,148,528
26th October 2015,642,640,135,395
25th October 2015,642,633,94,241
24th October 2015,622,628,62,620
23rd October 2015,673,673,65,241
22nd October 2015,671,672,68,314
21st October 2015,667,669,78,329
20th October 2015,668,665,107,414
19th October 2015,667,663,174,513
